,,UTCI,,IDEAM CI,,DISTORTION,SILHOUETTE CF
n clusters,,abs dev,SD,abs dev,SD,,
0
,0,4.36,5.4,1.27,2.76,0.06,0.35
,1,4.6,4.88,1.65,2.28,0.07,0.34
,2,4.55,5.59,1.65,3.35,0.07,0.39
,means:4.5,5.29,1.53,2.8,0.06,0.36
1
,0,3.21,3.89,1.01,1.8,0.04,0.41
,1,3.42,2.68,1.44,0.89,0.05,0.4
,2,1.9,2.15,0.85,0.91,0.03,0.51
,3,4.51,5.6,2.28,3.6,0.07,0.32
,means:3.26,3.58,1.4,1.8,0.05,0.41
2
,0,2.51,2.77,0.92,1.37,0.04,0.45
,1,3.12,1.98,1.42,0.64,0.05,0.42
,2,1.88,2.13,0.83,0.84,0.03,0.49
,3,4.15,4.88,2.5,4.05,0.07,0.17
,4,2.96,3.59,2.03,3.13,0.04,0.31
,means:2.92,3.07,1.54,2.01,0.05,0.37
3
,0,2.14,2.52,0.87,1.28,0.02,0.3
,1,3.06,1.93,1.45,0.64,0.04,0.43
,2,1.65,1.79,0.85,0.74,0.02,0.41
,3,4,4.68,2.53,4.02,0.07,0.18
,4,2.98,3.59,2.03,3.14,0.04,0.31
,5,2.72,3.02,1.02,1.44,0.03,0.44
,means:2.76,2.92,1.46,1.88,0.04,0.35
4
,0,2.17,2.58,0.86,1.31,0.02,0.33
,1,3.1,2.01,1.46,0.68,0.03,0.45
,2,2.21,2.27,1.23,0.96,0.02,0.27
,3,3.96,4.62,2.53,3.99,0.07,0.18
,4,2.97,3.58,1.99,3.13,0.04,0.31
,5,2.76,3.11,1.01,1.48,0.03,0.43
,6,1.49,1.71,0.69,0.71,0.01,0.42
,means:2.66,2.84,1.4,1.75,0.03,0.34
5
,0,1.88,2.12,0.81,1.07,0.02,0.34
,1,3.06,1.94,1.46,0.66,0.03,0.45
,2,2.11,2.12,1.21,0.83,0.02,0.28
,3,3.88,4.76,1.93,3.45,0.05,0.25
,4,2.01,2.53,1.59,2.42,0.03,0.34
