rh,ws,at,vp,t,vpt
83.70,0.10,29.38,26.20,24.80,33.45
83.10,1.34,28.91,26.50,25.10,33.85
82.40,1.54,29.30,26.90,25.50,34.38
82.60,1.28,30.11,27.60,25.90,35.01
84.00,0.77,29.70,27.10,25.30,34.24
85.90,0.09,30.08,27.40,25.10,34.14
82.70,0.66,28.89,25.90,24.80,33.35
85.50,0.01,30.40,27.60,25.30,34.41
81.90,0.69,28.63,25.50,24.70,33.12
84.80,1.50,29.59,27.70,25.50,34.64
87.90,1.34,29.10,27.70,24.90,34.04
85.30,1.46,29.05,27.20,25.10,34.08
81.30,0.39,29.08,25.60,24.90,33.35
80.80,0.77,29.21,25.90,25.20,33.75
80.20,1.00,29.45,26.20,25.50,34.15
80.00,1.04,29.85,26.60,25.80,34.58
82.20,0.57,29.35,26.20,25.10,33.75
83.00,0.10,29.61,26.30,25.00,33.68
79.50,0.34,28.48,24.60,24.60,32.72
82.80,0.17,29.99,26.70,25.30,34.11
78.20,0.56,28.49,24.50,24.80,32.89
81.80,1.37,29.82,27.20,25.80,34.78
85.20,1.11,29.60,27.50,25.30,34.38
82.90,1.19,29.44,26.90,25.40,34.28
83.30,0.35,29.47,26.40,25.00,33.71
82.80,1.02,29.40,26.70,25.30,34.11
82.20,1.26,29.63,27.00,25.60,34.51
81.80,1.13,30.28,27.50,26.00,35.08
82.90,0.67,29.81,26.90,25.40,34.28
85.40,0.03,30.22,27.40,25.20,34.24
81.90,0.38,29.15,25.80,24.90,33.41
85.10,0.01,30.67,27.80,25.50,34.67
80.90,0.85,28.72,25.50,24.90,33.32
84.00,1.44,30.17,28.10,25.90,35.17
87.20,1.25,29.86,28.30,25.40,34.74
84.80,1.35,29.70,27.70,25.50,34.64
82.30,0.78,25.21,22.30,22.40,29.76
82.70,0.64,25.34,22.40,22.40,29.79
82.30,0.74,25.67,22.70,22.70,30.19
82.20,0.85,26.03,23.10,23.00,30.62
82.50,0.31,26.14,22.90,22.80,30.36
81.60,0.03,26.40,22.80,22.90,30.42
75.40,0.01,25.56,20.80,22.70,29.56
79.40,0.08,27.03,23.00,23.50,31.09
76.00,0.72,25.26,21.10,22.80,29.76
83.70,1.19,26.52,24.10,23.40,31.35
87.20,1.03,26.36,24.50,23.00,31.09
84.70,1.07,26.11,23.80,23.00,30.85
82.50,0.71,28.98,26.00,24.90,33.48
81.20,0.80,29.39,26.20,25.30,33.95
81.20,0.99,29.55,26.50,25.50,34.25
80.90,0.98,29.99,26.90,25.80,34.68
82.90,0.48,29.64,26.60,25.20,33.98
83.40,0.08,30.12,26.90,25.30,34.18
78.60,0.02,29.20,24.90,25.00,33.22
81.40,0.15,30.47,26.90,25.70,34.58
78.60,1.07,28.47,24.90,25.00,33.22
83.20,1.34,30.14,27.80,25.90,35.07
86.60,1.19,29.84,28.10,25.40,34.67
84.20,1.29,29.67,27.50,25.50,34.58
85.00,0.53,29.67,27.10,25.10,34.04
84.40,1.04,29.71,27.40,25.40,34.44
83.30,1.28,30.05,27.70,25.80,34.94
82.60,0.97,30.79,28.10,26.20,35.47
84.00,0.70,30.22,27.60,25.60,34.71
87.00,0.20,30.73,28.40,25.50,34.87
82.90,0.00,29.98,26.60,25.20,33.98
85.80,0.20,31.07,28.50,25.80,35.21
82.50,1.25,28.90,26.30,25.10,33.78
85.70,1.28,30.77,29.00,26.10,35.67
88.90,1.26,30.35,29.20,25.60,35.24
86.10,1.37,30.28,28.60,25.80,35.24
85.80,7.44,22.04,24.40,23.20,31.25
84.60,10.38,20.32,24.50,23.50,31.59
84.30,7.45,22.94,25.00,23.90,32.15
83.60,3.07,26.83,25.70,24.50,32.98
85.80,5.19,24.82,25.60,24.00,32.45
92.40,8.51,22.69,27.10,23.70,32.64
89.00,8.34,22.48,26.10,23.70,32.31
91.50,7.97,23.43,27.30,24.00,33.01
89.50,9.28,20.95,25.30,23.10,31.45
89.20,5.10,24.91,26.30,23.80,32.48
89.20,3.00,26.08,26.00,23.60,32.18
89.90,0.46,27.92,26.20,23.60,32.25
83.20,0.65,14.97,14.00,14.80,19.42
83.70,0.33,15.09,14.00,14.70,19.32
84.90,0.34,15.28,14.30,14.80,19.52
83.90,0.36,15.73,14.50,15.20,19.99
79.70,0.02,16.51,14.30,15.80,20.52
77.50,0.26,16.47,14.10,16.00,20.65
71.00,0.28,15.43,12.50,15.50,19.63
80.90,0.32,16.76,14.80,16.10,20.98
