rh,wspd,appT,vp,temp,vpT
24.8,0.1,83.7,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.1,1.34,83.1,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
25.5,1.54,82.4,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wlight-gentle breeze
25.9,1.28,82.6,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
25.3,0.77,84,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.1,0.09,85.9,0.218631284021695,0.1182730783881,0.474666202800722,T25_RH90_Wcalm-light breeze
24.8,0.66,82.7,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.3,0.01,85.5,0.218631284021695,0.1182730783881,0.474666202800722,T25_RH90_Wcalm-light breeze
24.7,0.69,81.9,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.5,1.5,84.8,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wlight-gentle breeze
24.9,1.34,87.9,0.202168628955393,0.10936726739291,0.438924446979701,T25_RH90_Wcalm-light breeze
25.1,1.46,85.3,0.202168628955393,0.10936726739291,0.438924446979701,T25_RH90_Wcalm-light breeze
24.9,0.39,81.3,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.2,0.77,80.8,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.5,1,80.2,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.8,1.04,80,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
25.1,0.57,82.2,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25,0.1,83,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
24.6,0.34,79.5,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.3,0.17,82.8,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
24.8,0.56,78.2,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.8,1.37,81.8,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
25.3,1.11,85.2,0.202168628955393,0.10936726739291,0.438924446979701,T25_RH90_Wcalm-light breeze
25.4,1.19,82.9,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
25,0.35,83.3,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.3,1.02,82.8,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
25.6,1.26,82.2,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
26,1.13,81.8,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
25.4,0.67,82.9,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.2,0.03,85.4,0.218631284021695,0.1182730783881,0.474666202800722,T25_RH90_Wcalm-light breeze
24.9,0.38,81.9,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.5,0.01,85.1,0.218631284021695,0.1182730783881,0.474666202800722,T25_RH90_Wcalm-light breeze
24.9,0.85,80.9,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.9,1.44,84,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
25.4,1.25,87.2,0.202168628955393,0.10936726739291,0.438924446979701,T25_RH90_Wcalm-light breeze
25.5,1.35,84.8,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
22.4,0.78,82.3,0.351534235670931,0.2365461567762,0.575038618006136,T20_RH80_Wcalm-light breeze
22.4,0.64,82.7,0.351534235670931,0.2365461567762,0.575038618006136,T20_RH80_Wcalm-light breeze
22.7,0.74,82.3,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
23,0.85,82.2,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
22.8,0.31,82.5,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
22.9,0.03,81.6,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
22.7,0.01,75.4,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
23.5,0.08,79.4,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
22.8,0.72,76,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
23.4,1.19,83.7,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
23,1.03,87.2,0.202168628955393,0.10936726739291,0.438924446979701,T25_RH90_Wcalm-light breeze
23,1.07,84.7,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
24.9,0.71,82.5,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.3,0.8,81.2,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.5,0.99,81.2,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.8,0.98,80.9,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.2,0.48,82.9,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.3,0.08,83.4,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25,0.02,78.6,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.7,0.15,81.4,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25,1.07,78.6,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
25.9,1.34,83.2,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
25.4,1.19,86.6,0.202168628955393,0.10936726739291,0.438924446979701,T25_RH90_Wcalm-light breeze
25.5,1.29,84.2,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
25.1,0.53,85,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.4,1.04,84.4,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
25.8,1.28,83.3,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
26.2,0.97,82.6,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.6,0.7,84,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.5,0.2,87,0.218631284021695,0.1182730783881,0.474666202800722,T25_RH90_Wcalm-light breeze
25.2,0,82.9,0.357023391775105,0.193139128239361,0.469517065503415,T25_RH80_Wcalm-light breeze
25.8,0.2,85.8,0.218631284021695,0.1182730783881,0.474666202800722,T25_RH90_Wcalm-light breeze
25.1,1.25,82.5,0.330139988625849,0.178595999783438,0.434163033111792,T25_RH80_Wcalm-light breeze
26.1,1.28,85.7,0.202168628955393,0.10936726739291,0.438924446979701,T25_RH90_Wcalm-light breeze
25.6,1.26,88.9,0.202168628955393,0.10936726739291,0.438924446979701,T25_RH90_Wcalm-light breeze
25.8,1.37,86.1,0.202168628955393,0.10936726739291,0.438924446979701,T25_RH90_Wcalm-light breeze
23.2,7.44,85.8,0.141738149684155,0.0766761598789079,0.307724988231338,T25_RH90_Wgentle-fresh breeze
23.5,10.38,84.6,0.187347941944866,0.101349712703035,0.246378971116455,T25_RH80_Wgentle-fresh breeze
23.9,7.45,84.3,0.23145742920827,0.125211644759592,0.304386814574006,T25_RH80_Wgentle-fresh breeze
24.5,3.07,83.6,0.300863959132946,0.162758531021361,0.395662487282689,T25_RH80_Wlight-gentle breeze
24,5.19,85.8,0.164369056988108,0.0889188134658875,0.356858518613185,T25_RH90_Wlight-gentle breeze
23.7,8.51,92.4,0.141738149684155,0.0766761598789079,0.307724988231338,T25_RH90_Wgentle-fresh breeze
23.7,8.34,89,0.141738149684155,0.0766761598789079,0.307724988231338,T25_RH90_Wgentle-fresh breeze
24,7.97,91.5,0.141738149684155,0.0766761598789079,0.307724988231338,T25_RH90_Wgentle-fresh breeze
23.1,9.28,89.5,0.114726715531372,0.0620637704250264,0.249080979717757,T25_RH90_Wgentle-fresh breeze
23.8,5.1,89.2,0.164369056988108,0.0889188134658875,0.356858518613185,T25_RH90_Wlight-gentle breeze
23.6,3,89.2,0.184240795467322,0.0996688380718204,0.400001670286034,T25_RH90_Wlight-gentle breeze
23.6,0.46,89.9,0.218631284021695,0.1182730783881,0.474666202800722,T25_RH90_Wcalm-light breeze
14.8,0.65,83.2,0.345957996616483,0.273139974581021,0.663997401800546,T15_RH80_Wcalm-light breeze
14.7,0.33,83.7,0.345957996616483,0.273139974581021,0.663997401800546,T15_RH80_Wcalm-light breeze
14.8,0.34,84.9,0.345957996616483,0.273139974581021,0.663997401800546,T15_RH80_Wcalm-light breeze
